,I1_low_value,iHigh,V1_low_value,V2_low_value,V_high_filt,duty_cycle,power_p,power_q,Vq_net,Vnet,Vond,Id,Iq,Ialpha,Ibeta,Vd_ond,Vq_ond
886,0.20764268934726715,-0.041969142854213715,19.92902374267578,19.29214096069336,39.475276947021484,0.5239066481590271,-0.22589758038520813,-8.767621040344238,-0.002111466834321618,-17.67839241027832,1.9125308990478516,-0.0249884445220232,0.97430020570755,0.23773469030857086,-0.9451820254325867,1.6366702318191528,16.02646255493164
887,0.29593387246131897,-3.602355718612671e-05,20.560455322265625,18.704639434814453,39.476192474365234,0.5426130890846252,-0.24421122670173645,-8.747029304504395,-0.002700312063097954,-17.281517028808594,3.4090492725372314,-0.02699277363717556,0.9720407724380493,0.32682788372039795,-0.9158640503883362,1.6367698907852173,16.026519775390625
888,0.37318867444992065,0.05762201547622681,20.96637725830078,18.07194709777832,39.47654724121094,0.560941755771637,-0.3175581991672516,-8.612800598144531,-0.002325023291632533,-16.73094367980957,4.875340938568115,-0.03516582399606705,0.9571241736412048,0.4131177067756653,-0.8641113042831421,1.6368649005889893,16.026575088500977
889,0.5166618824005127,0.12052169442176819,21.46250343322754,17.620023727416992,39.47674560546875,0.5787316560745239,0.18762582540512085,-9.47103500366211,-0.0021351950708776712,-16.031879425048828,6.298534393310547,0.020974989980459213,1.0524767637252808,0.48941493034362793,-0.9320003986358643,1.6370444297790527,16.02688217163086
890,0.5166618824005127,0.0995551347732544,21.958629608154297,17.122907638549805,39.47702407836914,0.5958215594291687,-0.3148077428340912,-8.498724937438965,-0.0024056690745055676,-15.190755844116211,7.6657257080078125,-0.03485823795199394,0.9444652795791626,0.5603175759315491,-0.7611188292503357,1.6372898817062378,16.027265548706055
891,0.5883984565734863,0.10479677468538284,22.544960021972656,16.716175079345703,39.47682571411133,0.6120632290840149,-0.23593810200691223,-8.535056114196777,-0.0019496361492201686,-14.214614868164062,8.965056419372559,-0.026116877794265747,0.9484974145889282,0.6252913475036621,-0.7137032151222229,1.6375324726104736,16.02766990661621
892,0.6656532883644104,0.12576332688331604,22.905780792236328,16.12867546081543,39.477012634277344,0.6273133754730225,-0.101628378033638,-8.656706809997559,-0.0015338995726779103,-13.112236976623535,10.185068130493164,-0.011211663484573364,0.961994469165802,0.6886836886405945,-0.6717753410339355,1.6376657485961914,16.027929306030273
893,0.6932442784309387,0.24632105231285095,23.58231544494629,15.360404968261719,39.47660827636719,0.6414316296577454,-0.4730137288570404,-8.328633308410645,-0.0017427521524950862,-11.893670082092285,11.314531326293945,-0.05247697979211807,0.9255765676498413,0.7470486164093018,-0.5489889979362488,1.6377816200256348,16.028156280517578
894,0.7980901002883911,0.20438793301582336,24.213748931884766,15.044058799743652,39.47647476196289,0.6542962193489075,0.1759338676929474,-8.785686492919922,-0.0013724801829084754,-10.569457054138184,12.343697547912598,0.0196261964738369,0.9763620495796204,0.7969372868537903,-0.5644413232803345,1.6379332542419434,16.028425216674805
895,0.8091264963150024,0.18866300582885742,24.574567794799805,14.592134475708008,39.476409912109375,0.6657944917678833,-0.3738800883293152,-8.489606857299805,-0.001051552826538682,-9.151318550109863,13.263558387756348,-0.04149392619729042,0.9434469938278198,0.8470542430877686,-0.4175227880477905,1.6378412246704102,16.028522491455078
